手続名称,書類正式名称,担当課,担当係,場所,用途,留意事項,電話番号,URL,電子申請
愛の手帳の返還申請,愛の手帳交付（新規・更新・再交付）申請書,総合福祉事務所,障害者支援係,,愛の手帳の返還申請,愛の手帳が必要,,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/techo/ai.html,
"身体障害者手帳の新規申請
（東京都の進達事務）",身体障害者手帳交付等申請（届出）書,総合福祉事務所,障害者支援係,,身体障害者手帳の新規申請,"医師の診断書・意見書
写真",,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/techo/shinsho.html,
"身体障害者手帳の再交付申請
（東京都の進達事務）",身体障害者手帳交付等申請（届出）書,総合福祉事務所,障害者支援係,,身体障害者手帳の再交付申請,"医師の診断書・意見書
写真（破損・汚損・紛失を除く）",,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/techo/shinsho.html,
身体障害者手帳の返還,身体障害者手帳交付等申請（届出）書,総合福祉事務所,障害者支援係,,身体障害者手帳の返還,返還する手帳,,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/techo/shinsho.html,
日常生活用具の申請,日常生活用具給付申請書,総合福祉事務所,障害者支援係,,日常生活用具の申請,見積書,,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/nichijo/seikatsushien/nichijoseikatsuyogu.html,
訪問入浴サービス事業申請,訪問入浴サービス申請書,総合福祉事務所,障害者支援係,,訪問入浴サービス事業申請,"利用者状況票
意見書",,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/nichijo/seikatsushien/homon_nyuyoku.html,
練馬区在宅心身障害者(児)緊急一時保護事業の申請,障害者（児）緊急一時保護申請書,総合福祉事務所,障害者支援係;知的障害者担当係,,緊急に保護が必要となる障害者(児)を他の家庭に保護委託する事業です。,,,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/shogaoshortstay1.html,
中等度難聴児発達支援事業,中等度難聴児発達支援事業補聴器購入費助成申請書,総合福祉事務所,障害者支援係,,中等度難聴児発達支援事業,"中等度難聴児発達支援事業補聴器購入費助成金交付意見書
見積書",,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/nichijo/seikatsushien/hochoukikounyuuhi.html,
練馬区重症心身障害児(者)等在宅レスパイト申請,練馬区重症心身障害児（者）等在宅レスパイト事業利用申請書,総合福祉事務所,障害者支援係,,練馬区重症心身障害児(者)等在宅レスパイト事業,医師の指示書の写し,,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/nichijo/kaigo/zyuusyouresupaito.html,
小児慢性特定疾病児童等日常生活用具の申請,練馬区小児慢性特定疾病児童等日常生活用具給付申請書,総合福祉事務所,障害者支援係,,小児慢性特定疾病児童等日常生活用具の申請,小児慢性特定疾病医療受給者証の写,,https://www.city.nerima.tokyo.jp/hokenfukushi/iryo/nanbyo/shoni_kyufu.html,
有料道路における障害者割引制度,有料道路障害者割引申請書兼ＥＴＣ利用申請書,総合福祉事務所,障害者支援係,,有料道路における障害者割引制度,"身体障害者手帳
療育手帳
自動車車検証
運転免許証（2種のみ）
ＥＴＣカード
ＥＴＣセットアップ証明書",,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/genmen/expressway.html,https://www.expressway-discount.jp/
東京都重度心身障害者手当受給資格の認定請求届出,重度心身障害者手当受給認定申請書,総合福祉事務所,福祉事務係,,"手当の受給を求める申請手続き
",,,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/teate/judoshinshin.html,
練馬区心身障害者（児）紙おむつ受給登録の変更、消滅,心身障害者（児）紙おむつ受給者異動届,総合福祉事務所,福祉事務係,,紙おむつ受給者の変更・消滅手続き,,,https://www.city.nerima.tokyo.jp/dl/shogai/omutu2.html,
練馬区心身障害者（児）紙おむつの支給,心身障害者（児）紙おむつ受給者登録申請書,総合福祉事務所,福祉事務係,,在宅の障害者の快適な日常生活の維持と介護にあたる家族の支援と負担軽減を図るための紙おむつ申請手続き,,,https://www.city.nerima.tokyo.jp/dl/shogai/omutu2.html,
練馬区心身障害者自動車燃料費助成資格の消滅、変更,心身障害者自動車燃料費助成異動届,総合福祉事務所;保健予防課,福祉事務係;精神保健係,,心身障害者自動車燃料費助成の資格消滅、変更の手続き,,,https://www.city.nerima.tokyo.jp/dl/shogai/nennryouhi2.html,
練馬区心身障害者自動車燃料費助成,心身障害者自動車燃料費助成申請書,総合福祉事務所;保健予防課,福祉事務係;精神保健係,,心身障害者の日常生活向上のため所有する自動車の燃料費の一部を助成するための申請手続き,,,https://www.city.nerima.tokyo.jp/dl/shogai/nennryouhi2.html,
練馬区心身障害者福祉手当の申請,心身障害者福祉手当認定申請書,総合福祉事務所,福祉事務係,,"手当の受給を求める申請手続き
",,,https://www.city.nerima.tokyo.jp/dl/shogai/kusyou2.html,
練馬区心身障害者福祉手当の変更等届出,心身障害者福祉手当異動届,総合福祉事務所,福祉事務係,,"手当受給者の
住所・氏名・口座振替変更、喪失のための手続き",,,https://www.city.nerima.tokyo.jp/dl/shogai/kusyou2.html,
福祉タクシー券登録異動の届,福祉タクシー券異動届,総合福祉事務所,福祉事務係,,外出困難な心身障害者の移動方法の手段としてタクシー券を交付するための申請手続き,,,https://www.city.nerima.tokyo.jp/dl/shogai/taxi2.html,
練馬区心身障害者福祉タクシー券の利用登録申請,福祉タクシー券交付申請兼受領書,総合福祉事務所,福祉事務係,,外出困難な心身障害者の移動方法の手段としてタクシー券の利用登録するための申請手続き,,,https://www.city.nerima.tokyo.jp/dl/shogai/taxi2.html,
特別障害者手当等（障害児福祉手当含む）受給資格者の現況届出,特別障害者手当等（障害児福祉手当含む）受給資格者の現況届出,総合福祉事務所,福祉事務係,,"受給資格要件調査のための届出
",,,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/teate/tokubetsu.html,
特別障害者手当等（障害児福祉手当含む）受給資格者の死亡届出,特別障害者手当等（障害児福祉手当含む）受給資格者の死亡届出,総合福祉事務所,福祉事務係,,喪失のための手続き,,,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/teate/tokubetsu.html,
特別障害者手当等（障害児福祉手当含む）受給資格者の変更等届出,特別障害者手当等（障害児福祉手当含む）受給資格者の変更等届出,総合福祉事務所,福祉事務係,,住所・氏名・口座振替変更、喪失のための手続き,,,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/teate/tokubetsu.html,
特別障害者手当等（障害児福祉手当含む）受給資格の認定請求届出,特別障害者手当等（障害児福祉手当含む）受給資格の認定請求届出,総合福祉事務所,福祉事務係,,"手当の受給を求める申請手続き
",,,https://www.city.nerima.tokyo.jp/hokenfukushi/shogai/teate/tokubetsu.html,
ひとり親家庭ホームヘルプの利用申請,ひとり親家庭ホームヘルプサービス利用申請書,総合福祉事務所,相談係,,申請を受け、親の就労や子の生活状況等を確認し適否を審査し、決定を通知する手続き。,事前登録が必要です。管轄の福祉事務所相談係までご相談ください。,,https://www.city.nerima.tokyo.jp/kurashi/jinken/hitorioya/homehelp.html,
休養ホームの利用申請,ひとり親家庭等休養ホーム利用書交付申請書,総合福祉事務所,相談係,,申請を受け適否を審査し、決定を通知する手続き。,児童扶養手当証書かひとり親家庭等医療証か児童育成手当の認定通知または審査結果通知書が必要,,https://www.city.nerima.tokyo.jp/kurashi/jinken/hitorioya/home.html,
敬老館の利用申請（個人）,練馬区立敬老館利用申請書,,各敬老館,,敬老館を利用する際の初回登録をするために必要な手続き,,,https://www.city.nerima.tokyo.jp/dl/koreisha/keiroukannsinnseisyo.html,
三原台敬老館の日曜日利用団体登録,練馬区立三原台敬老館日曜日利用団体登録申請書,,三原台敬老館,三原台2-11-29,三原台敬老館の日曜日利用団体登録,練馬区立三原台敬老館日曜日利用団体登録簿,(03)3924-8834,https://www.city.nerima.tokyo.jp/dl/koreisha/keiroukannsinnseisyo.html,
三原台敬老館の日曜日利用団体利用申請,練馬区立三原台敬老館日曜日利用団体利用申請書,,三原台敬老館,三原台2-11-29,団体利用の申し込み,,(03)3924-8834,https://www.city.nerima.tokyo.jp/dl/koreisha/keiroukannsinnseisyo.html,
はつらつセンター利用個人の登録,練馬区はつらつセンター利用申請書,,各はつらつセンター,,はつらつセンターの個人利用をするために必要な手続き,,,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/shisetsu/0000111111122.html,
介護職員初任者研修受講料助成事業,練馬区介護職員初任者研修受講料助成金交付申請書兼請求書,高齢社会対策課;障害者施策推進課,計画係;事業者支援係,西庁舎3階;西庁舎1階,介護職員初任者研修受講料助成金の交付申請,修了証明書の写し、領収書の原本,"(03)5984-4584,(03)5984-2825",https://www.city.nerima.tokyo.jp/hokenfukushi/kaigohoken/joseiseido/syoninsya2022.html,
介護職員実務者研修受講料助成事業,練馬区介護職員実務者研修受講料助成金交付申請書兼請求書,高齢社会対策課;障害者施策推進課,計画係;事業者支援係,西庁舎3階;西庁舎1階,介護職員実務者研修受講料助成金の交付申請,修了証明書の写し、領収書の原本,"(03)5984-4584,(03)5984-2825",https://www.city.nerima.tokyo.jp/hokenfukushi/kaigohoken/joseiseido/zitsumusya2022.html,
介護福祉士資格取得支援助成事業,練馬区介護福祉士資格取得支援助成金交付申請書兼請求書,高齢社会対策課;障害者施策推進課,計画係;事業者支援係,西庁舎3階;西庁舎1階,介護福祉士資格取得支援助成金の交付申請,介護福祉士登録証の写し、領収書の原本,"(03)5984-4584,(03)5984-2825",https://www.city.nerima.tokyo.jp/hokenfukushi/kaigohoken/joseiseido/kaigohukushishi2022.html,
いきがいデイサービス事業,いきがいデイサービス事業利用申請書　第１号様式,高齢社会対策課,介護予防係,西庁舎3階;西庁舎1階,外出の機会として、週1回午前中に、31か所の区立施設で体操や趣味活動を行います。,,(03)5984-2094,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/kenko/kenkochojuhatsuratsu/ikigai.html,https://logoform.jp/form/G2rU/332850
地域リハビリテーション活動自主活動支援申し込み,自主活動支援申込書,高齢社会対策課,介護予防係,西庁舎3階;西庁舎1階,自主活動支援（自主グループ等にリハビリ専門職を派遣）の申し込み,,(03)5984-2094,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/kenko/kenkochojuhatsuratsu/tiikiriha.html,https://logoform.jp/form/G2rU/316669
高齢者いきいき健康事業,高齢者いきいき健康事業申込書,高齢社会対策課,いきがい係,西庁舎3階;西庁舎1階,高齢者いきいき健康券を申し込むための手続き,,(03)5984-4763,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/ikigai/ikiikihp.html,https://www.shinsei.elg-front.jp/tokyo2/uketsuke/form.do?id=1639640873451
高齢者等紙おむつ等支給(現物支給）,高齢者等紙おむつ等受給者登録申請書,総合福祉事務所,高齢者支援係,,高齢者等に対し、紙おむつおよびおむつカバー等を支給する。,転入者の場合のみ、前住所地の所得証明書。または、所得確認依頼の同意書。,,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/nichijo/kamiomutsu.html,
家族介護慰労金支給,家族介護慰労金支給申請書,総合福祉事務所,高齢者支援係,,介護保険要介護４・５と認定された家族を在宅で介護している家族に慰労金を支給する。,同意書,,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/nichijo/irokin.html,
車いす等貸与,車いす等貸与申請書,総合福祉事務所,高齢者支援係,,傷害や疾病等により居宅で、車いす等の介護用具の利用を必要とする区民に対し貸与する。,,,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/nichijo/wheelchair_bed.html,
布団乾燥,高齢者布団乾燥消毒・丸洗い事業利用申込書,高齢者支援課,高齢給付係,西庁舎3階;西庁舎1階,65歳以上の在宅で要介護１?５に認定された一人暮らしまたは高齢者のみの世帯の方に毎月専門業者が布団の乾燥消毒等を実施する。,,(03)5984-2774,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/nichijo/futon.html,
高齢者出張調髪,出張調髪利用申請書,高齢者支援課,高齢給付係,西庁舎3階;西庁舎1階,65歳以上の要介護３?５に認定された外出困難な方に自宅または入院先に出張調髪する利用券を交付する。,,(03)5984-2774,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/nichijo/shucchochohatsu.html,
高齢者寝具クリーニング,寝具クリーニング券利用申請書,高齢者支援課,高齢給付係,西庁舎3階;西庁舎1階,65歳以上の要介護３?５に認定された方にシーツ、毛布等の寝具をクリーニングできる利用券を交付する。,,(03)5984-2774,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/nichijo/shingu_cleaning.html,
ひとりぐらし高齢者入浴証交付事業,申請書・アンケート兼受領書,高齢者支援課,高齢給付係,西庁舎3階;西庁舎1階,ひとりぐらし高齢者入浴証の交付を受けるための手続き,,(03)5984-2774,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/hitori/nyuyokusho.html,
高齢者在宅生活あんしん事業,高齢者在宅生活あんしん事業利用申請書,,管轄の地域包括支援センター,,慢性疾患等や要介護・要支援・総合事業対象者の高齢者に対して、@緊急通報システム、A生活リズムセンサー、B定期訪問、C電話訪問、D見守り配食を一体的に提供する。,電話回線確認表,,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/hitori/zaitakuseikatusien.html,
認知症高齢者位置情報提供サービス利用料助成申請,練馬区認知症高齢者位置情報提供サービス利用料助成申請書,高齢者支援課,管轄の地域包括支援センター,,区民等が区の助成金を受けるための申請手続,委任状,,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/ninchisyo2022.html,
練馬区高齢者補聴器購入費用助成金申請書,練馬区高齢者補聴器購入費用助成金申請書,高齢者支援課,高齢給付係,西庁舎3階;西庁舎1階,65歳以上の住民税非課税世帯の方で、専門医により補聴器の必要性を認められた方を対象に、補聴器の購入費用を助成する。,,(03)5984-2774,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/nichijo/20210419134246065.html,
要介護認定（新規）申請,介護保険　要介護認定・要支援認定申請書,介護保険課,介護認定第一係,東庁舎4階,要介護認定を受けていない者が、要介護認定を求めて申請する,"介護保険被保険者証
医療保険被保険者証（第2号被保険者のみ）",(03)5984-2867,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/nintei-shinsei.html,https://myna.go.jp/
要介護更新認定申請,介護保険　要介護認定・要支援認定申請書,介護保険課,介護認定第一係,東庁舎4階,要介護認定を受けている者が、有効期間満了日の60日前から有効期間満了日までの間に認定の更新を求めて申請する,"介護保険被保険者証
医療保険被保険者証（第2号被保険者のみ）",(03)5984-2867,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/nintei-shinsei.html,https://myna.go.jp/
要介護認定区分変更認定申請,介護保険　要介護認定・要支援認定申請書,介護保険課,介護認定第一係,東庁舎4階,要介護認定を受けている者が、状態の変化等により、要介護状態区分の変更を求めて申請する,"介護保険被保険者証
医療保険被保険者証（第2号被保険者のみ）",(03)5984-2867,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/nintei-shinsei.html,https://myna.go.jp/
要支援認定（新規）申請,介護保険　要介護認定・要支援認定申請書,介護保険課,介護認定第一係,東庁舎4階,要支援認定を受けていない者が、要支援認定を求めて申請する,"介護保険被保険者証
医療保険被保険者証（第2号被保険者のみ）",(03)5984-2867,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/nintei-shinsei.html,https://myna.go.jp/
要支援更新認定申請,介護保険　要介護認定・要支援認定申請書,介護保険課,介護認定第一係,東庁舎4階,要支援認定を受けている者が、有効期間満了日の60日前から有効期間満了日までの間に認定の更新を求めて申請する,"介護保険被保険者証
医療保険被保険者証（第2号被保険者のみ）",(03)5984-2867,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/nintei-shinsei.html,https://myna.go.jp/
要支援認定区分変更認定申請,介護保険　要介護認定・要支援認定申請書,介護保険課,介護認定第一係,東庁舎4階,要支援認定を受けている者が、状態の変化等により、要支援状態区分の変更を求めて申請する,"介護保険被保険者証
医療保険被保険者証（第2号被保険者のみ）",(03)5984-2867,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/nintei-shinsei.html,https://myna.go.jp/
転入時の要介護・要支援認定申請,介護保険　要介護認定・要支援認定申請書,介護保険課,介護認定第一係,東庁舎4階,前住地において認定を受けていた者が転入した際に、前住地での認定を引き継ぐために、転入日から14日以内に申請する（前住所地引継申請）,"介護保険被保険者証
医療保険被保険者証（第2号被保険者のみ）",(03)5984-2867,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/nintei-shinsei.html,https://myna.go.jp/
要介護認定等の資料提供に係る申請,要介護認定等の資料提供に係る申請書,介護保険課,介護認定第一係,東庁舎4階,被保険者本人や家族等が、介護保険施設入所申し込みやケアプランの自己作成および要介護認定等の是正を目的として申請する,"被保険者症または認定決定通知等
本人確認書類
委任状または申出書",(03)5984-2867,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/shiryoteikyo.html,
負担割合証の再交付申請,介護保険被保険者証・負担割合証再交付申請書,介護保険課,資格保険料係,東庁舎4階,介護認定等のある方へ交付した負担割合証を、紛失・汚損・破損した場合に、被保険者本人等が介護保険課や区民事務所および地域包括支援センターの窓口に再交付の申請を行う。,,(03)5984-4592,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/saikoufu.html,
介護保険負担限度額認定申請,介護保険負担限度額認定申請書,介護保険課,給付係,東庁舎4階,介護老人福祉施設・介護老人保健施設・介護療養型医療施設・介護医療院および短期入所生活介護を利用した際の居住費と食費の自己負担を軽減する。（対象要件あり）,預貯金通帳等の写し,(03)5984-4591,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/futangendogaku.html,
生計困難者等に対する利用者負担額軽減対象確認申請,"生計困難者等に対する利用者負担額
軽減対象確認申請書
収入および預貯金等申告書
資産および扶養の有無に関する申告書",介護保険課,給付係,東庁舎4階,介護サービス費や居住費・食費の自己負担額の減額に必要な「 生計困難者等に対する利用者負担額軽減対象確認申請書」および添付資料を被保険者本人等が介護保険課または高齢者支援係に提出する。,預貯金通帳等の写し,(03)5984-4591,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/konnansha.html,
介護保険特定福祉用具購入費の支給申請,"介護保険居宅介護（介護予防）福祉用具購入費支給申請書
介護保険福祉用具購入費受領委任払い利用購入承認申請書
介護保険居宅介護（介護予防）福祉用具購入費支給申請書",介護保険課,給付係,東庁舎4階,要介護、要支援認定を受けた人を対象に、日常生活の自立を助けるために必要と認められる場合に限り、指定居宅サービス事業者から購入した特定福祉用具購入費を支給する。被保険者等が介護保険課または地域包括支援センターに申請書類を提出する。,福祉用具サービス計画書の写し・領収書・カタログ・請求書等,(03)5984-4591,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/yougukounyuuhi.html,
高齢者自立支援用具給付申請,高齢者自立支援用具給付申請書,介護保険課,給付係,東庁舎4階,区内在住の６５歳以上の方で、必要と認められる方に、日常生活自立支援用具の給付を行う。申請者が地域包括支援センターに申請書類を提出する。,必ず事前に介護保険課給付係に相談してください。,(03)5984-4591,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/nichijo/jiritsushienyogu.html,
介護保険住宅改修費支給申請,"住宅改修費受領委任払い利用工事承認申請書
介護保険　居宅介護（介護予防）住宅改修費事前承認申請書
介護保険【居宅介護・介護予防】住宅改修費支給申請書
介護保険　居宅介護（介護予防）住宅改修費支給申請書
",介護保険課,給付係,東庁舎4階,要介護、要支援認定を受けた人を対象に、介護負担軽減や介護予防のための改修工事に対する給付を行う。改修を受ける被保険者等が介護保険課または地域包括支援センターに申請書類を提出する。,工事図面、写真、内訳書、領収書、請求書等,(03)5984-4591,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/juutakukaisyuuhijury.html,
高齢者自立支援住宅改修費給付費支給申請,"高齢者自立支援住宅改修給付申請書
高齢者自立支援住宅改修給付券",介護保険課,給付係,東庁舎4階,区内在住の６５歳以上の方で、介護認定の結果非該当で一定要件を満たす方や要介護・要支援認定を受けた方を対象に、介護負担軽減や介護予防のための改修工事に対する給付を行う。改修を受ける被保険者等が介護保険課または地域包括支援センターに申請書類を提出する。,工事図面、写真、内訳書、請求書等,(03)5984-4591,https://www.city.nerima.tokyo.jp/hokenfukushi/koreisha/jutaku/setsubi_kaishu.html,
第三者行為による被害の届出,第三者行為（介護保険）被害届,介護保険課,給付係,東庁舎4階,交通事故などが原因で、要介護状態になったり、要介護度が重度化した被保険者（被害者）が介護サービスを利用した場合、区へ被害届等を提出する。,"被害届
同意書
交通事故証明書
事故発生状況報告書",(03)5984-4591,https://www.city.nerima.tokyo.jp/hokenfukushi/kaigohoken/oshirase/daisansyakoui.html,
居宅サービス計画（ケアプラン）作成依頼届,居宅サービス計画作成依頼（変更）届出書,介護保険課,介護システム係,東庁舎4階,被保険者が居宅介護支援事業所から支援を受けることとなった際に自治体へ届け出る（実際には殆ど事業所が代行）,"介護保険被保険者証
（必須でない）",(03)5984-1669,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/plan-todokede.html,
介護予防サービス計画作成依頼届,介護予防サービス計画作成依頼（変更・終了）届出書,介護保険課,介護システム係,東庁舎4階,被保険者が地域包括支援センターから支援を受けることとなった際に自治体へ届け出る（実際には殆ど地域包括支援センターが代行）,"介護保険被保険者証
（必須でない）",(03)5984-1669,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/kaigoyoboutodokedesy.html,
小規模多機能型居宅サービス等計画作成依頼届,"（介護予防）小規模多機能型居宅介護・
看護小規模多機能型居宅介護に係る
居宅（介護予防）サービス計画作成依頼（変更）届出書",介護保険課,介護システム係,東庁舎4階,被保険者が小規模多機能事業所等から支援を受けることとなった際に自治体へ届け出る（実際には殆ど事業所が代行）,"介護保険被保険者証
（必須でない）",(03)5984-1669,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/plan-shoukibo.html,
居宅サービス計画作成依頼等取下届,居宅サービス計画作成依頼等取下届,介護保険課,介護システム係,東庁舎4階,被保険者が施設入所や医療入院等により居宅介護支援事業所等からの支援を中止することとなった際に自治体へ届け出る（実際には殆ど事業所が代行）,,(03)5984-1669,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/plan-torisage.html,
被保険者証の再交付申請,介護保険　被保険者証・負担割合証　再交付申請書（第4号様式）,介護保険課,資格保険料係,東庁舎4階,被保険者証を紛失等した場合、申請により再交付を行う,,(03)5984-4592,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/saikoufu.html,
保険料の減免,介護保険　保険料減免申請書（第46号様式）,介護保険課,資格保険料係,東庁舎4階,災害等特別な事情があり、一時的に収入が減少し保険料の納付が困難な者に対して保険料を減免する,"・り災証明書・被災証明書等
・医師の診断書
・収入を証する書類(確定申告書、源泉徴収票、給与明細書、預金通帳、その他必要と認めるもの)の写し等",(03)5984-4592,https://www.city.nerima.tokyo.jp/hokenfukushi/kaigohoken/hokenryo/gengaku.html,
生計困難者世帯に対する保険料の減額の申請,生計困難世帯に対する介護保険料減額申請書（付則第1号様式）,介護保険課,資格保険料係,東庁舎4階,保険料段階が第２、第３段階の者のうち、収入要件を満たした者に対して保険料を減額する,"・前年中(1 月?12 月)の世帯全員の収入額がわかるもの(年金振込通知書・源泉徴収票等)
・世帯全員分の最新の預貯金等の額がわかるもの",(03)5984-4592,https://www.city.nerima.tokyo.jp/hokenfukushi/kaigohoken/hokenryo/gengaku.html,
送付先設定の届出,介護保険　送付先設定（変更）申請書,介護保険課,資格保険料係,東庁舎4階,被保険者住所以外の宛名・住所に各種証や通知等を送付するための届出,,(03)5984-4592,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/kaigo_souhusaki.html,
送付先解除の届出,介護保険　送付先解除申請書,介護保険課,資格保険料係,東庁舎4階,既に設定されている送付先を解除するための届出,,(03)5984-4592,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/kaigo_souhusaki.html,
住所地特例についての届出,介護保険　住所地特例適用・変更・終了届（第2号様式）,介護保険課,資格保険料係,東庁舎4階,住所地特例対象施設への入退所に伴い、住所地特例の適用を受けるに至った場合、または適用を受けなくなった場合に、届け出る。,,(03)5984-4592,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/shinsei.html,
住所地特例についての届出,介護保険　住所地特例対象施設　入所・退所　連絡票,介護保険課,資格保険料係,東庁舎4階,練馬区の被保険者が住所地特例対象施設を入所・退所した際に、住所地特例対象施設が届け出る,,(03)5984-4592,https://www.city.nerima.tokyo.jp/dl/kaigohoken/service/shinsei.html,
「にこにこ」利用グループの登録申請,「にこにこ」利用グループ登録申請書,,各児童館,,学童クラブ室活用型子育て支援事業「にこにこ」をグループで使用する際に申請する手続き,,,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/jidokan/nikoniko/index.html,
子どもの医療費助成のための医療証の交付,医療証交付申請書,子育て支援課,児童手当係,本庁舎10階,子ども医療証交付申請手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/josei.html,
子どもの医療費助成のための医療証の再交付,医療証再交付申請書,子育て支援課,児童手当係,本庁舎10階,子ども医療証再交付申請手続き,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/josei.html,
学童クラブ入会承認,学童クラブ申請書等,子育て支援課,放課後対策第一係,本庁舎10階,学童クラブの入会申請手続き,就労証明書または申立書,(03)5984-1519,https://www.city.nerima.tokyo.jp/dl/shussan/gakudo/nyuukaisinsei.html,
学童クラブ保育料の減免の申請,学童クラブ保育料減額・免除申請書,子育て支援課,放課後対策第一係,本庁舎10階,学童クラブ保育料の減免の決定手続き,,(03)5984-1519,https://www.city.nerima.tokyo.jp/dl/shussan/gakudo/050206.html,
児童扶養手当の公的年金給付等受給に対する手当の支給制限,公的年金給付等受給状況届,子育て支援課,児童手当係,本庁舎10階,児童扶養手当の受給者が公的年金を受給する際に必要な手続き,年金証書等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/fuyoteate.html,
子どもの医療費助成費の支給決定,子ども医療助成費支給申請兼請求書,子育て支援課,児童手当係,本庁舎10階,自己負担した医療費の払い戻し申請手続き,医療機関の領収書等,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/shinsei.html,
子どもの医療費助成のための医療証の変更届（健康保険）,子ども医療費助成制度申請事項変更・消滅届,子育て支援課,児童手当係,本庁舎10階,子ども医療証登録内容の変更手続,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/josei.html,
子どもの医療費助成のための医療証の変更届（住所）,子ども医療費助成制度申請事項変更・消滅届,子育て支援課,児童手当係,本庁舎10階,子ども医療証登録内容の変更手続(住所),,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/josei.html,
子どもの医療費助成のための医療証の変更届（保護者）,子ども医療費助成制度申請事項変更・消滅届,子育て支援課,児童手当係,本庁舎10階,子ども医療証登録内容の変更手続（保護者）,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/josei.html,
子どもの医療費助成のための医療証の変更届（児童氏名）,子ども医療費助成制度申請事項変更・消滅届,子育て支援課,児童手当係,本庁舎10階,子ども医療証登録内容の変更手続（児童氏名）,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/josei.html,
子どもの医療費助成のための医療証の変更届（その他）,子ども医療費助成制度申請事項変更・消滅届,子育て支援課,児童手当係,本庁舎10階,子ども医療証登録内容の変更手続（その他）,,(03)5984-5824,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/teateiryo/josei.html,
